sede_id,sede,tipo_seccion
EITAL,"Oficina  de  Derechos  Humanos, Géneros  y  Diversidad",Seccion
EFRAN,Oficina  Turismo,Seccion
EJAPO,Política,Seccion
EKENY,Política  y  Cooperación    ,Seccion
ESALV,Prensa,Seccion
EEEUU,Prensa,Seccion
ETUNE,Prensa,Seccion
CNYOR,Promoción  Cultural,Seccion
ERUNI,Protocolo,Seccion
EPBAJ,Rep.  Permanente  OPAQ,Seccion
EESPA,Representante  Ministerio  de  Desarrollo  Productivo,Seccion
EHILE,Residencia  Oficial,Seccion
ETRIN,Sección,Sección  Consular
EALEM,Sección  Administración,Seccion
EDOMI,Sección  Administración,Seccion
CMIAM,Sección  Administración,Seccion
ESSED,"Sección  Administración, Economato, Contabilidad  e  Inventario",Seccion
EBARB,Sección  Administrativa,Seccion
EKUWA,Sección  Administrativa,Seccion
ECANA,Sección  Administrativa,Seccion
ESING,Sección  Administrativa,Seccion
EMARR,Sección  Administrativa,Seccion
CGTEL,Sección  Administrativa,Seccion
CBARC,Sección  Administrativa,Seccion
EFRAN,Sección  Administrativa,Seccion
EITAL,Sección  Administrativa,Seccion
CSCRS,Sección  Administrativa,Seccion
ECHIN,Sección  Administrativa,Seccion
EEGIP,Sección  Administrativa,Seccion
CFRAN,Sección  Administrativa,Seccion
EVENE,Sección  Administrativa,Seccion
EDINA,Sección  Administrativa,Seccion
EUNGR,Sección  Administrativa,Seccion
EARME,Sección  Administrativa,Seccion
EANGO,Sección  Administrativa,Seccion
ESAFR,Sección  Administrativa,Seccion
EHOND,Sección  administrativa,Seccion
EPERU,Sección  Administrativa,Seccion
EAUST,Sección  Administrativa,Seccion
EARGE,Sección  Administrativa,Seccion
ECUBA,Sección  Administrativa,Seccion
EGREC,Sección  Administrativa,Seccion
CSIDN,Sección  Administrativa,Seccion
EQATR,Seccion  Administrativa,Seccion
ECOLO,Sección  Administrativa,Seccion
EHILE,Sección  Administrativa,Seccion
ENIGE,Sección  Administrativa,Seccion
ESURI,Sección  Administrativa,Seccion
ECEUR,Sección  Administrativa,Seccion
ESERB,Sección  Administrativa,Seccion
CMILA,Sección  Administrativa  -  Titular:  ,Seccion
ELBNO,Sección  Administrativa  Contable,Seccion
CRECI,Sección  Administrativa  y  Contable,Sección  Consular
EFRUS,Sección  Administrativa  y  Logística,Seccion
EEEUU,Sección  Administrativa  y  Recursos  Humanos,Seccion
EESPA,Sección  Administrativa  y  Recursos  Humanos,Seccion
EMEXI,Sección  Administrativa  y  Recursos  Humanos  ,Seccion
EINDI,Sección  Agrícola,Seccion
ETRIA,Sección  Bilateral,Seccion
EAUST,Sección  Ciencia  y  Tecnología,Seccion
EMEXI,Sección  Comercial,Seccion
EEGIP,Sección  Comercial,Seccion
EDINA,Sección  Comercial,Seccion
EURUG,Sección  Comercial,Seccion
EQATR,Sección  Comercial,Seccion
CURUG,Sección  Comercial,Seccion
EPOLO,Sección  Comercial,Seccion
EHOND,Sección  Comercial,Seccion
ETRIA,Sección  Comercial,Seccion
ESALV,Sección  Comercial  e  Inversiones,Seccion
CMIAM,Sección  Comercial  e  Inversiones,Seccion
CSIDN,Sección  Comercial  y  Cultural,Seccion
EFINL,Sección  Comercial  y  de  Inversiones,Seccion
CBARC,"Sección  Comercial, Turismo  e  Inversiones",Seccion
EAUST,Sección  Comercio  e  Inversiones,Seccion
EFRUS,Sección  Concurrencias,Seccion
EBARB,Sección  Consular,Seccion
CGMUM,Sección  Consular,Seccion
CRIOJ,Sección  Consular,Seccion
ESING,Sección  Consular,Seccion
EETIO,Sección  Consular,Sección  Consular
EALEM,Sección  Consular,Seccion
CGTEL,Sección  Consular,Seccion
ENORU,Sección  Consular,Seccion
EBRAS,Sección  Consular,Seccion
ECORE,Sección  Consular,Sección  Consular
EFRUS,Sección  Consular,Seccion
EARGE,Sección  Consular,Seccion
ECOLO,Sección  Consular,Seccion
EJAMA,Sección  Consular  ,Sección  Consular
EECUA,Sección  Consular,Seccion
EVIET,Sección  Consular,Sección  Consular
EARME,Sección  Consular,Seccion
EDOMI,Sección  Consular,Seccion
ENZEL,Sección  Consular,Seccion
EKUWA,Sección  Consular,Seccion
ERUMA,Sección  Consular,Seccion
EASIR,Sección  Consular,Sección  Consular
ETUNE,Sección  Consular,Seccion
EEEUU,Sección  Consular,Sección  Consular
EIRLA,Sección  Consular,Sección  Consular
EGREC,Sección  Consular,Sección  Consular
EQATR,Sección  Consular,Sección  Consular
EVENE,Sección  Consular,Seccion
EEGIP,Sección  Consular,Sección  Consular
EFINL,Sección  Consular,Seccion
EHAIT,Sección  Consular,Sección  Consular
EDINA,Sección  Consular,Sección  Consular
CNYOR,Sección  Consular,Seccion
ESERB,Sección  Consular,Sección  Consular
EANGO,Sección  Consular,Sección  Consular
ECHES,Sección  Consular,Seccion
ETURQ,Sección  Consular,Seccion
CCHIC,Sección  Consular,Sección  Consular
EPAKI,Sección  Consular,Sección  Consular
CSCRS,Sección  Consular,Seccion
EBELG,Sección  Consular,Seccion
EEARB,Sección  Consular,Sección  Consular
CVIGO,Sección  Consular,Sección  Consular
ESUEC,Sección  Consular,Seccion
EPBAJ,Sección  Consular,Seccion
CSIDN,Sección  Consular,Sección  Consular
CFRAN,Sección  Consular,Seccion
EMSIA,Sección  Consular,Sección  Consular
EPNMA,Sección  Consular,Seccion
EUNGR,Sección  Consular,Sección  Consular
CTORO,SECCION  CONSULAR,Sección  Consular
EISIA,Sección  Consular,Seccion
ESURI,Sección  Consular,Seccion
EHOND,Sección  Consular,Seccion
EFRAN,Sección  Consular,Seccion
EIRAN,Sección  Consular,Sección  Consular
EGUAT,Sección  Consular,Sección  Consular
CSHAN,Sección  Consular,Seccion
EJAPO,Sección  Consular,Seccion
EUCRA,Sección  Consular,Sección  Consular
ERICA,Sección  Consular,Seccion
CRECI,Sección  Consular,Sección  Consular
EMOZA,Sección  Consular,Sección  Consular
CPABL,Sección  Consular,Sección  Consular
ETAIL,Sección  Consular,Sección  Consular
ETRIA,Sección  Consular,Sección  Consular
ESALV,Sección  Consular  ,Sección  Consular
ESUIZ,Sección  Consular,Seccion
EAZER,Sección  Consular,Sección  Consular
ELBIA,Sección  Consular,Seccion
ELBNO,Sección  Consular,Sección  Consular
EMARR,Sección  Consular,Sección  Consular
ENICA,SECCION  CONSULAR,Sección  Consular
ECUBA,Sección  Consular,Seccion
CMILA,Sección  Consular  -  Cónsul  Adjunto  Agustín  Busignani  ,Sección  Consular
CBARC,Sección  Consular  (Asistencia  al  ciudadano/Visas),Sección  Consular
CMIAM,Sección  Consular  (Documentación),Seccion
CBARC,Sección  Consular  (Documentación/Asuntos  previsionales),Seccion
ECHIN,Sección  Consular  (Ir  a  Consulados),Sección  Consular
CMIAM,Sección  Consular  (Notariales),Sección  Consular
CBARC,Sección  Consular  (Opción  de  Nacionalidad/Notariales/Itinerancias),Seccion
CMIAM,Sección  Consular  (Trámites  generales),Sección  Consular
CMIAM,Sección  Consular  (Visas  y  Asistencia  a  Argentinos),Sección  Consular
EPOLO,Sección  Consular  de  la  Embajada  de  la  República  Argentina  en  la  República  de  Polonia,Seccion
ENIGE,Sección  Consular  Embajada  Argentina  en  Nigeria,Sección  Consular
CMILA,Sección  Consular:  Cónsul  Adjunto  Lara  Fazzolari,Sección  Consular
EANGO,Sección  Cooperación,Seccion
ECUBA,Sección  Cooperación,Seccion
EBARB,Sección  Cooperación  Internacional,Seccion
EFRAN,Sección  Cooperación  Internacional,Seccion
EALEM,Sección  Cooperación  Internacional,Seccion
ESSED,Sección  Cultura,Seccion
EESPA,"Sección  Cultura, Educación  y  Protocolo",Seccion
CBARC,"Sección  Cultura, Educación  y  Redes  Sociales",Seccion
CTORO,SECCION  CULTURAL,Seccion
CSCRS,Seccion  Cultural,Seccion
EMEXI,Sección  Cultural,Seccion
ECANA,Sección  Cultural,Seccion
CRIOJ,Sección  Cultural,Seccion
EALEM,Sección  Cultural,Seccion
EETIO,Sección  Cultural,Seccion
ENORU,Sección  Cultural,Seccion
EECUA,Sección  Cultural,Seccion
EAUST,Seccion  Cultural,Seccion
EARGE,Sección  Cultural,Seccion
EISIA,Sección  Cultural,Seccion
EKUWA,Sección  Cultural,Seccion
EIRLA,Sección  Cultural,Seccion
EVENE,Sección  Cultural,Seccion
EEGIP,Sección  Cultural,Seccion
EDINA,Sección  Cultural,Seccion
EUNGR,Sección  Cultural,Seccion
EHAIT,Sección  Cultural,Seccion
EMOZA,Sección  Cultural,Seccion
ECHES,Sección  Cultural,Seccion
EURUG,Sección  Cultural,Seccion
ETURQ,Sección  Cultural,Seccion
ECUBA,Sección  Cultural,Seccion
EJAMA,Sección  Cultural,Seccion
CVIGO,Sección  Cultural,Sección  Consular
CFRAN,Sección  Cultural,Seccion
CRECI,Sección  Cultural  ,Sección  Consular
EJAPO,Sección  Cultural  ,Seccion
ERUNI,Sección  Cultural,Seccion
CMIAM,Sección  Cultural,Seccion
ELBNO,Sección  Cultural,Seccion
EBRAS,Sección  Cultural,Seccion
EPOLO,Sección  Cultural,Seccion
EHILE,Sección  Cultural,Seccion
CSHAN,Sección  Cultural  ,Seccion
EGREC,Sección  Cultural,Seccion
EBELG,Sección  Cultural,Seccion
ESURI,Sección  Cultural,Seccion
EFRAN,Sección  Cultural,Seccion
ETRIA,Sección  Cultural,Seccion
ESUIZ,Sección  Cultural,Seccion
EAZER,Sección  Cultural,Seccion
ETAIL,Sección  Cultural,Seccion
EMARR,Sección  Cultural,Seccion
EUCRA,Sección  Cultural,Seccion
EEEUU,Sección  Cultural  y  de  Diplomacia  Pública,Seccion
ESUEC,Sección  Cultural  y  de  Prensa,Seccion
EBARB,Sección  Cultural  y  Prensa,Seccion
EANGO,Sección  Cultural  y  Prensa,Seccion
EPERU,"Sección  Cultural, Educación  y  Prensa",Seccion
ECORE,"Sección  Cultural, Educación  y  Turismo",Seccion
ESERB,"Sección  Cultural, Educación  y  Turismo",Seccion
EITAL,"Sección  Cultural, Educación, Ciencia  y  Tecnología  ",Seccion
ECOLO,"Sección  Cultural, Educativa  y  Cooperación  Judicial",Seccion
ESAFR,"Sección  Cultural, Prensa  y  Diplomacia  Pública",Seccion
EBOLV,"Sección  Cultural, Prensa, Educación, Derechos  Humanos  y  de  Cooperación  Técnica",Seccion
ETRIA,Sección  de  Administración,Seccion
CGMUM,Sección  de  Administración,Seccion
ECORE,Sección  de  Administración  ,Seccion
EAZER,Sección  de  Administración,Seccion
EMOZA,Sección  de  Administración  y  Finanzas,Seccion
EITAL,Sección  de  Cooperación  Internacional,Seccion
EMOZA,Sección  de  Cooperación  Internacional  y  Ayuda  Humanitaria,Seccion
EPERU,Sección  de  Cooperación  Judicial  y  Asuntos  de  Género,Seccion
ETRIA,Sección  de  Cooperación  Jurídica,Seccion
EFRUS,"Sección  de  Cultura, Turismo  y  Cooperación  Deportiva",Seccion
ETRIA,Sección  de  DDHH  y  Género,Seccion
EITAL,"Sección  de  Diplomacia  Pública, Comunicación  y  Prensa",Seccion
EALEM,Sección  de  Prensa,Seccion
EHAIT,Sección  de  Prensa,Seccion
EMEXI,Sección  de  Prensa,Seccion
EMOZA,Sección  de  Prensa  y  Difusión,Seccion
EFRUS,Sección  de  Prensa  y  Difusión,Seccion
EITAL,Sección  de  Promoción  Comercial  y  Turismo,Seccion
CSHAN,Sección  Deportiva,Seccion
EPAKI,Sección  Económica,Seccion
EJAPO,Sección  Económica  -  Comercial  ,Seccion
EESPA,Sección  Económica  -  Comercial,Seccion
ELBNO,Sección  Económica  -  Comercial  e  Inversiones,Seccion
ELBIA,Sección  Económica  Comercial,Seccion
EIRLA,Sección  Económica  y    Comercial,Seccion
ESERB,Sección  Económica  y  Comercial,Seccion
EBARB,Sección  Económica  y  Comercial,Seccion
ECEUR,Sección  Económica  y  Comercial,Seccion
CGMUM,Sección  Económica  y  Comercial,Seccion
EGREC,Sección  Económica  y  Comercial,Seccion
CRIOJ,Sección  Económica  y  Comercial,Seccion
EETIO,Sección  Económica  y  Comercial,Seccion
EALEM,Sección  Económica  y  Comercial,Seccion
ECHIN,Sección  Económica  y  Comercial,Seccion
ENORU,Sección  Económica  y  Comercial,Seccion
ECORE,Sección  Económica  y  Comercial,Seccion
EFRUS,Sección  Económica  y  Comercial,Seccion
EARGE,Sección  Económica  y  Comercial,Seccion
EECUA,Sección  Económica  y  Comercial,Seccion
EDOMI,Sección  Económica  y  Comercial,Seccion
CSCRS,Sección  Económica  y  Comercial,Seccion
ERUMA,Sección  Económica  y  Comercial,Seccion
EMARR,Sección  Económica  y  Comercial,Seccion
EEEUU,Sección  Económica  y  Comercial,Seccion
EKUWA,Sección  Económica  y  Comercial,Seccion
EVENE,Sección  Económica  y  Comercial,Seccion
EARME,Sección  Económica  y  Comercial,Seccion
ENZEL,Sección  Económica  y  Comercial,Seccion
EHAIT,Sección  Económica  y  Comercial,Seccion
CNYOR,Sección  Económica  y  Comercial,Seccion
EANGO,Sección  Económica  y  Comercial,Seccion
ECHES,Sección  Económica  y  Comercial,Seccion
ETURQ,Sección  Económica  y  Comercial,Seccion
CCHIC,Sección  Económica  y  Comercial,Seccion
ENIGE,Sección  Económica  y  Comercial,Seccion
EBELG,Sección  Económica  y  Comercial,Seccion
EPERU,Sección  Económica  y  Comercial  ,Seccion
EJAMA,Sección  Económica  y  Comercial,Seccion
ESAFR,Sección  Económica  y  Comercial,Seccion
CVIGO,Sección  Económica  y  Comercial,Sección  Consular
EINDI,Sección  Económica  y  Comercial,Seccion
CFRAN,Sección  Económica  y  Comercial,Seccion
CRECI,Sección  Económica  y  Comercial,Sección  Consular
ECUBA,Sección  Económica  y  Comercial,Seccion
ETUNE,Sección  Económica  y  Comercial,Seccion
EMSIA,Sección  Económica  y  Comercial,Seccion
CTORO,SECCION  ECONOMICA  Y  COMERCIAL,Seccion
EISIA,Sección  Económica  y  Comercial,Seccion
CSHAN,Sección  Económica  y  Comercial,Seccion
EHILE,Sección  Económica  y  Comercial,Seccion
EGUAT,Sección  Económica  y  Comercial,Seccion
ERICA,Sección  Económica  y  Comercial,Seccion
ESURI,Sección  Económica  y  Comercial,Seccion
EAZER,Sección  Económica  y  Comercial,Seccion
ETAIL,Sección  Económica  y  Comercial,Seccion
EPNMA,Sección  Económica  y  Comercial,Seccion
EUCRA,Sección  Económica  y  Comercial,Seccion
EMOZA,Sección  Económica  y  Comercial  ,Seccion
EPBAJ,"Sección  Económica  y  Comercial, Prensa  y  Turismo.",Seccion
EITAL,Sección  Económica  y  Promoción  de  Inversiones,Seccion
CHONG,Sección  Económica-Comercial,Seccion
ECANA,"Sección  Económica-Comercial, Cooperación  e  Innovación",Seccion
ESING,"Sección  Económica, Comercial  y  de  Inversiones",Seccion
EVIET,"Sección  Económica, Comercial  y  de  Inversiones",Seccion
ESUIZ,"Sección  Económica, Comercial  y  de  Inversiones",Seccion
EEARB,"Sección  Económica, Comercial  y  de  Inversiones  /  Oficina  Comercial  en  Dubai",Seccion
ESUEC,"Sección  Económica, Comercial  y  de  Promoción  de  Inversiones",Seccion
ERUNI,"Sección  Económica, Comercial  y  Turismo",Seccion
ECOLO,"Sección  Económica, Comercial  y  Turismo",Seccion
EBOLV,"Sección  Económica, Comercial, de  Inversiones  y  Turismo.",Seccion
EBOLV,"Sección  Económica, Comercial, de  Inversiones  y  Turismo.",Seccion
EFRAN,"Sección  Económica, Comercial, Promoción  e  Inversiones",Seccion
EISRA,Sección  Económico-Comercial  y  de  Cooperación,Seccion
EBRAS,"Sección  Económico-Comercial, Inversiones  y  Turismo",Seccion
EECUA,Sección  Educación  y  Cooperación,Seccion
CSHAN,Sección  Educativa,Seccion
EHOND,Sección  Encargado  Cancillería,Seccion
EFRUS,"Sección  Energía, Ciencia  y  Tecnología",Seccion
ECHIN,Sección  Inversiones,Seccion
EHILE,Sección  Jurídica,Seccion
EFRUS,Sección  Malvinas  Antártida  y  Atlántico  Sur,Seccion
CNYOR,Sección  Notarial,Seccion
EFRAN,Sección  Organismos  Internacionales  Económicos,Seccion
EPERU,Sección  Política  ,Seccion
EETIO,Sección  Política,Seccion
EALEM,Sección  Política,Seccion
ECHES,Sección  Política  ,Seccion
ECHIN,Sección  Política,Seccion
