sede_id,sede,pais,ciudad,estado,sede_tipo,iso_3
EQATR,Embajada  en  Qatar,ESTADO  DE  QATAR,Doha,Activo,Embajada,QAT
ERICA,Embajada  en  Costa  Rica,REPÚBLICA  DE  COSTA  RICA,San  José,Activo,Embajada,CRI
ERUMA,Embajada  en  Rumania,RUMANIA,Bucarest,Activo,Embajada,ROU
ERUNI,Embajada  en  Reino  Unido,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,Londres,Activo,Embajada,GRB
ESAFR,Embajada  en  Sudáfrica,REPÚBLICA  DE  SUDÁFRICA,Pretoria,Activo,Embajada,ZAF
ESALV,Embajada  en  El  Salvador,REPÚBLICA  DE  EL  SALVADOR,San  Salvador,Activo,Embajada,SLV
ESENE,Embajada  en  Senegal,REPÚBLICA  DE  SENEGAL,Dakar,Activo,Embajada,SEN
ESERB,Embajada  en  Serbia,REPÚBLICA  DE  SERBIA,Belgrado,Activo,Embajada,SRB
ESING,Embajada  en  Singapur,REPÚBLICA  DE  SINGAPUR,Singapur,Activo,Embajada,SGP
ESSED,Representación  ante  la  Santa  Sede,SANTA  SEDE,Roma,Activo,Embajada,VAT
ESUEC,Embajada  en  Suecia,REINO  DE  SUECIA,Estocolmo,Activo,Embajada,SWE
ESUIZ,Embajada  en  Suiza,Confederación  Suiza,Berna,Activo,Embajada,CHE
ESURI,Embajada  en  Surinam,REPÚBLICA  DE  SURINAME,Paramaribo,Activo,Embajada,SUR
ETAIL,Embajada  en  Tailandia,REINO  DE  TAILANDIA,Bangkok,Activo,Embajada,THA
ETRIA,Embajada  en  Austria,REPÚBLICA  DE  AUSTRIA,Viena,Activo,Embajada,AUT
ETRIN,Embajada  en  Trinidad  y  Tobago,REPÚBLICA  DE  TRINIDAD  Y  TOBAGO,Puerto  España,Activo,Embajada,TTO
ETUNE,Embajada  en  Túnez,REPÚBLICA  TUNECINA,Tunez,Activo,Embajada,TUN
ETURQ,Embajada  en  Türkiye,República  de  Türkiye,Ankara,Activo,Embajada,TUR
EUCRA,Embajada  en  Ucrania,UCRANIA,Kiev,Activo,Embajada,UKR
EUNES,"Delegación  Permanente  ante  la  Organización  de  las  Naciones  Unidas  para  la  Educación, la  Ciencia  y  la  Cultura",REPÚBLICA  FRANCESA,París,Activo,Misión  Permanente ,FRA
EUNGR,Embajada  en  Hungría,HUNGRÍA,Budapest,Activo,Embajada,HUN
EURUG,Embajada  en  Uruguay,REPÚBLICA  ORIENTAL  DEL  URUGUAY,Montevideo,Activo,Embajada,URY
EVENE,Embajada  en  Venezuela,REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,Caracas,Activo,Embajada,VEN
EVIET,Embajada  en  Vietnam,REPÚBLICA  SOCIALISTA  DE  VIETNAM,Hanoi,Activo,Embajada,VNM
OCCAT,Oficina  Comercial  y  Cultural  Argentina  en  Taiwán,REPÚBLICA  POPULAR  DE  CHINA,Taiwan,Inactivo,Consulado,CHN
REPAL,Oficina  de  Representación  en  el  Estado  de  Palestina,ESTADO  DE  PALESTINA,RAMALA,Activo,Embajada,PSE
